,date_time,injured,killed,street_name_primary,street_name_intersecting
82300,2021-08,0,0,SUNSET CLIFFS BOULEVARD,
82301,2021-08,0,0,SUNSET CLIFFS BOULEVARD,
82302,2021-08,2,0,WASHINGTON STREET,
82303,2021-08,2,0,WASHINGTON STREET,
82304,2021-08,1,0,REGENTS ROAD,
82305,2021-08,0,0,LELAND STREET,
82306,2021-08,0,0,LELAND STREET,
82307,2021-08,0,0,LELAND STREET,
82308,2021-08,0,0,NIMITZ BOULEVARD,ROSECRANS STREET
82309,2021-08,0,0,NIMITZ BOULEVARD,ROSECRANS STREET
82310,2021-08,0,0,SHAWLINE STREET,
82311,2021-08,0,0,SHAWLINE STREET,
82314,2021-08,0,0,PARK BOULEVARD,
82315,2021-08,0,0,PARK BOULEVARD,
82316,2021-08,0,0,PARK BOULEVARD,
82317,2021-08,0,0,PARK BOULEVARD,
82320,2021-08,0,0,MARKET STREET,
82321,2021-08,0,0,GARNET AVENUE,
82322,2021-08,0,0,GARNET AVENUE,
82323,2021-08,0,0,ROSECRANS STREET,
82324,2021-08,0,0,ROSECRANS STREET,
82327,2021-08,0,0,STATE STREET,
82328,2021-08,0,0,STATE STREET,
82329,2021-08,0,0,STATE STREET,
82330,2021-08,1,0,GARNET AVENUE,
82331,2021-08,1,0,GARNET AVENUE,
82332,2021-08,0,0,GRAND AVENUE,
82333,2021-08,0,0,GRAND AVENUE,
82334,2021-08,0,0,GRAND AVENUE,
82337,2021-08,1,0,MARKET STREET,TOYNE STREET
82338,2021-08,1,0,MARKET STREET,TOYNE STREET
82339,2021-08,1,0,MARKET STREET,TOYNE STREET
82340,2021-08,1,0,MARKET STREET,TOYNE STREET
82341,2021-08,1,0,FAIRMOUNT AVENUE,
82342,2021-08,1,0,FAIRMOUNT AVENUE,
82343,2021-08,1,0,FAIRMOUNT AVENUE,
82344,2021-08,1,0,FAIRMOUNT AVENUE,
82345,2021-08,1,0,FAIRMOUNT AVENUE,
82350,2021-08,0,0,NAVAJO ROAD,
82351,2021-08,0,0,NAVAJO ROAD,
82352,2021-08,0,0,NAVAJO ROAD,
82356,2021-08,0,0,FRIARS ROAD,
82357,2021-08,0,0,FRIARS ROAD,
82358,2021-08,0,0,FRIARS ROAD,
82359,2021-08,0,0,FRIARS ROAD,
82360,2021-08,0,0,FRIARS ROAD,
82361,2021-08,1,0,ASHFORD STREET,
82365,2021-08,0,0,F STREET,
82366,2021-08,0,0,F STREET,
82367,2021-08,0,0,F STREET,
82368,2021-08,0,0,F STREET,
82373,2021-08,1,0,E STREET,
82374,2021-08,1,0,E STREET,
82375,2021-08,1,0,E STREET,
82376,2021-08,1,0,E STREET,
82377,2021-08,1,0,E STREET,
82378,2021-08,1,0,E STREET,
82379,2021-08,1,0,CARMEL VALLEY ROAD,
82380,2021-08,1,0,CARMEL VALLEY ROAD,
82381,2021-08,0,0,HOME AVENUE,
82382,2021-08,0,0,HOME AVENUE,
82385,2021-08,0,0,FRIARS ROAD,
82386,2021-08,0,0,HILLTOP DRIVE,
82387,2021-08,0,0,HILLTOP DRIVE,
82388,2021-08,0,0,HILLTOP DRIVE,
82389,2021-08,1,0,FRIARS ROAD,
82390,2021-08,1,0,MISSION BOULEVARD,
82391,2021-08,1,0,C STREET,
82392,2021-08,1,0,C STREET,
82393,2021-08,0,0,HAWTHORN STREET,
82394,2021-08,0,0,HAWTHORN STREET,
82395,2021-08,2,0,GRAND AVENUE,
82396,2021-08,2,0,GRAND AVENUE,
82397,2021-08,2,0,GRAND AVENUE,
82402,2021-08,1,0,MARKET STREET,
