,date_count,street_name,total_count
1713,2006-12,ARRUZA STREET,3530
1714,2009-12,ARRUZA STREET,3105
1715,2012-11,ARRUZA STREET,3227
1716,2008-09,ARTESIAN ROAD,370
1717,2011-09,ARTESIAN ROAD,670
1718,2014-04,ARTESIAN ROAD,995
1722,2007-03,ASH STREET,16240
1723,2010-03,ASH STREET,16240
1724,2013-04,ASH STREET,15489
1725,2010-12,ASH STREET,12390
1726,2015-10,ASH STREET,10517
1727,2019-06,ASH STREET,10931
1728,2007-03,ASH STREET,12020
1729,2010-03,ASH STREET,10035
1730,2013-03,ASH STREET,11777
1731,2010-09,ASH STREET,9950
1732,2013-12,ASH STREET,10125
1733,2010-09,ASH STREET,9595
1734,2013-12,ASH STREET,9196
1735,2006-03,ASH STREET,10860
1736,2009-03,ASH STREET,8925
1737,2012-03,ASH STREET,9274
1738,2015-04,ASH STREET,11779
1739,2016-03,ASH STREET,10399
1740,2020-03,ASH STREET,11808
1741,2010-12,ASH STREET,13105
1742,2021-03,ASH STREET,7522
1743,2021-03,ASH STREET,9021
1744,2005-03,ASH STREET,11660
1745,2010-12,ASH STREET,10560
1746,2018-03,ASH STREET,11265
1747,2022-03,ASH STREET,11819
1748,2010-02,ASH STREET,19720
1749,2010-12,ASH STREET,17985
1750,2013-02,ASH STREET,13883
1751,2006-04,ASH STREET,8700
1752,2009-04,ASH STREET,11055
1753,2012-04,ASH STREET,10875
1754,2015-07,ASH STREET,10186
1755,2015-07,ASH STREET,10186
1756,2016-04,ASH STREET,11211
1757,2010-12,ASH STREET,9375
1758,2005-06,ASH STREET,6190
1759,2011-01,ASH STREET,6105
1760,2014-04,ASH STREET,6473
1761,2006-03,ASH STREET,10230
1762,2009-04,ASH STREET,7560
1763,2012-03,ASH STREET,8740
1764,2015-04,ASH STREET,10679
1765,2016-03,ASH STREET,10080
1766,2020-03,ASH STREET,11930
1768,2006-09,ASHFORD STREET,5980
1769,2008-10,ASHFORD STREET,5880
1770,2009-09,ASHFORD STREET,6770
1771,2012-07,ASHFORD STREET,5195
1772,2016-09,ASHFORD STREET,6523
1773,2006-11,ASHFORD STREET,5130
1774,2009-11,ASHFORD STREET,5695
1775,2016-11,ASHFORD STREET,4918
1776,2005-10,ASHFORD STREET,5700
1777,2008-10,ASHFORD STREET,6375
1778,2011-10,ASHFORD STREET,5850
1779,2014-04,ASHFORD STREET,5719
1780,2015-10,ASHFORD STREET,5469
1781,2022-10,ASHFORD STREET,4702
1782,2008-01,ASHFORD STREET,7070
1783,2011-02,ASHFORD STREET,6875
1784,2014-04,ASHFORD STREET,8083
1785,2006-11,ASHFORD STREET,5880
1786,2009-11,ASHFORD STREET,6115
1787,2016-11,ASHFORD STREET,6473
1788,2011-09,ASHLEY FALLS DRIVE,2970
1789,2014-04,ASHLEY FALLS DRIVE,3156
1790,2008-01,ATHEY AVENUE,2900
1791,2011-03,ATHEY AVENUE,3300
1792,2014-04,ATHEY AVENUE,3094
1794,2021-09,AUBURNDALE STREET,2546
1795,2006-11,AUBURNDALE STREET,2980
1796,2009-11,AUBURNDALE STREET,2465
1797,2015-02,AUBURNDALE STREET,3276
1798,2016-11,AUBURNDALE STREET,3102
1813,2006-11,AVATI DRIVE,5520
1814,2009-11,AVATI DRIVE,6870
1815,2012-10,AVATI DRIVE,5251
1816,2016-11,AVATI DRIVE,5176
1857,2006-02,AVIARY DRIVE,3130
1858,2009-02,AVIARY DRIVE,3455
1859,2012-02,AVIARY DRIVE,3625
1860,2015-04,AVIARY DRIVE,3325
1861,2016-02,AVIARY DRIVE,3553
1862,2020-02,AVIARY DRIVE,3730
1863,2019-01,AVIARY DRIVE,2585
1864,2005-02,AVIARY DRIVE,3750
1865,2008-02,AVIARY DRIVE,3720
1866,2011-03,AVIARY DRIVE,3745
1867,2014-04,AVIARY DRIVE,3716
1868,2019-01,AVIARY DRIVE,3056
1871,2005-05,AZUAGA STREET,3200
1872,2007-02,AZUAGA STREET,3560
1873,2010-03,AZUAGA STREET,3115
1874,2013-02,AZUAGA STREET,2351
1875,2017-02,AZUAGA STREET,2822
1876,2018-05,AZUAGA STREET,2852
1881,2011-06,B STREET,8760
1882,2014-04,B STREET,7177
1883,2006-03,B STREET,9220
1884,2009-03,B STREET,7565
1885,2012-03,B STREET,7476
1886,2015-05,B STREET,8519
1887,2016-03,B STREET,7531
1888,2020-03,B STREET,9753
1889,2006-03,B STREET,10680
1890,2009-03,B STREET,9025
1891,2012-03,B STREET,8420
1892,2015-05,B STREET,9832
1893,2016-03,B STREET,7935
1894,2020-03,B STREET,8806
1895,2010-12,B STREET,14275
1896,2010-12,B STREET,9235
1897,2008-03,B STREET,13710
1898,2011-06,B STREET,10285
1899,2014-04,B STREET,10232
1900,2005-03,B STREET,11620
1901,2010-12,B STREET,13305
1902,2018-03,B STREET,11117
1903,2022-03,B STREET,12014
1904,2010-12,B STREET,13965
1905,2021-03,B STREET,8278
1906,2007-03,B STREET,8800
1907,2010-03,B STREET,12965
1908,2013-03,B STREET,8575
1909,2011-01,B STREET,5085
1910,2014-04,B STREET,5105
1911,2010-12,B STREET,3900
1912,2010-12,B STREET,6910
1913,2019-01,B STREET,5651
1914,2006-03,B STREET,6160
1915,2009-03,B STREET,5370
1916,2012-03,B STREET,5356
1917,2015-05,B STREET,5736
1918,2016-03,B STREET,5894
1919,2007-03,B STREET,2920
1920,2010-03,B STREET,3115
1921,2013-02,B STREET,2781
1922,2021-03,B STREET,8454
1923,2008-03,B STREET,12540
1924,2016-08,B STREET,11537
1925,2021-07,BACHMAN PLACE,3319
1926,2007-06,BACHMAN PLACE,7940
